Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"C1 C2 C3","3","10U","25 VDC","","Capacitor - Electrolytic - 12 V decoupling","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf","Panasonic","EEA-FC1E100","Mouser","667-EEA-FC1E100","https://www.mouser.ca/ProductDetail/Panasonic/EEA-FC1E100?qs=nLJruSqDb94EJwiFQJd4iw%3D%3D","","","","","",""
"C4 C5 C6 C7 C8","5","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C9 C10","2","470N","","","Capacitor - Film","https://www.mouser.ca/datasheet/2/212/1/KEM_F3101_R82-1103738.pdf","KEMET","R82DC3470SH60J","Mouser","80-R82DC3470SH60J","https://www.mouser.ca/ProductDetail/?qs=Jv4FAWB%252B0HZ72wFOzKdj%2Fw%3D%3D","","","","","",""
"C15","1","1U","","","Capacitor - Electrolytic","","","","","","","","","","","",""
"C16 C17","2","4U7","","","Capacitor - Electrolytic","https://www.mouser.ca/datasheet/2/315/ABA0000C1050-947578.pdf","Panasonic","ECE-A1EKA4R7I","Mouser"," 667-ECE-A1EKA4R7I","https://www.mouser.ca/ProductDetail/?qs=rMMd5vBiahozL%2Fri%252Bowqyg%3D%3D","","","","","",""
"C18 C19","2","220U","","","Capacitor - Electrolytic","https://www.mouser.ca/datasheet/2/315/ABA0000C1024-947657.pdf","Panasonic","EEU-EB1E221SJ","Mouser","667-EEU-EB1E221SJ","https://www.mouser.ca/ProductDetail/Panasonic/EEU-EB1E221SJ?qs=MtOUKumLmna6f0Pf4au4uQ%3D%3D","","","","","",""
"J1 J2","2","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"J3 J4 J5","3","WQP419GR","","","Audio Jack, 3 Poles (Stereo / TRS), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ366ST-364.html","QingPu / Thonk","PJ366ST / WQP419GR","Thonk","PJ366ST","https://www.thonk.co.uk/shop/thonkiconn/","","","","","",""
"J6","1","Conn_Front","","","Generic connector, single row, 01x18, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","","","","","","",""
"J7","1","Conn_Rear","","","Generic connector, single row, 01x18, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","","","","","","",""
"J8","1","Conn_Eurorack_16","","","Eurorack 16-pin board power/CV/gate bus connector","https://www.mouser.ca/datasheet/2/445/61201621621-1717735.pdf","Wurth Elektronik","61201621621","Mouser","710-61201621621","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61201621621?qs=ZtY9WdtwX55qFf4n3EFuaA%3D%3D","","","","","",""
"R1 R2 R3 R4 R19 R20","6","100K","","","Resistor","","","","","","","","","","","",""
"R5 R6 R7 R8 R29 R30 R31 R32","8","10K","","","Resistor","","","","","","","","","","","",""
"R9 R10","2","43K2","","","Resistor","https://www.mouser.ca/datasheet/2/427/cmfmil-1762972.pdf","Vishay / Dale","RN55D4322FRE6","Mouser","71-RN55D-F-43.2K/R","https://www.mouser.ca/ProductDetail/Vishay-Dale/RN55D4322FRE6?qs=uspOzq2yv%2FMqqeE%2Fvm%252BOVQ%3D%3D","","","","","",""
"R15 R16 R17 R18","4","100R","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FTF52-100R","Mouser","603-MFR-25FTF52-100R","https://www.mouser.ca/ProductDetail/603-MFR-25FTF52-100R","","","","","",""
"R21 R22 R23 R24","4","3K9","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-3K9","Mouser","603-MFR-12FTF52-3K9","https://www.mouser.ca/ProductDetail/603-MFR-12FTF52-3K9","","","","","",""
"R33 R34","2","33K2","","","Resistor","https://www.mouser.ca/datasheet/2/427/cmfmil-1762972.pdf","Vishay / Dale","RN55D3322FRE6","Mouser","71-RN55D-F-33.2K/R","https://www.mouser.ca/ProductDetail/Vishay-Dale/RN55D3322FRE6?qs=uspOzq2yv%2FMDGZ25jlboYQ%3D%3D","","","","","",""
"RV1 RV2","2","100K","LOG","","Dual potentiometer","https://www.thonk.co.uk/wp-content/uploads/Documents/alpha/9mm/DUAL%20GANG%20-%20RD902F-40-15R1-A50K-0057.pdf","Alpha","RD902F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","","","","","",""
"U2","1","TL072","","","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL072BCP","Mouser","595-TL072BCP","https://www.mouser.ca/ProductDetail/Texas-Instruments/TL072BCP?qs=p6YqzpSxLIxmo8AyZLsP4g%3D%3D","","","","","",""
"U3","1","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","","","","",""
"U4","1","LM4808","","","Dual Audio Amplifiers","https://www.ti.com/lit/ds/symlink/lm4808.pdf","Texas Instruments","LM4808MX/NOPB","Mouser","595-LM4808MX/NOPB","https://www.mouser.ca/ProductDetail/?qs=2k4gZbgf%2F9mzy9kYxpbm2Q%3D%3D","","","","","",""
