Ref,Qty,Name,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","Cable_Eurorack_16","Cable_Eurorack_16","","Length as required","Eurorack 16-16 pin power & bus cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C2 C5","3","CP_10U","10U","25 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf","Panasonic","EEA-FC1E100","Mouser","667-EEA-FC1E100","https://www.mouser.ca/ProductDetail/Panasonic/EEA-FC1E100?qs=nLJruSqDb94EJwiFQJd4iw%3D%3D","","","","","",""
"C3 C4 C6 C7 C8 C9 C10","7","CC_100N","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C11 C12","2","CF","3N3","","","Capacitor - Film","https://www.mouser.ca/datasheet/2/212/F3294_MMK-1101858.pdf","KEMET","MMK5102J100J01L16.5TA18","Mouser","80-MMK5102J100J1TA18","https://www.mouser.ca/ProductDetail/KEMET/MMK5102J100J01L165TA18?qs=IKDMbYZLynDyIIzWkajPBA%3D%3D","","","","","",""
"D3 D5","2","LED_5mm_Blue","LED_5mm_Blue","","","Blue Light Emitting Diode","https://www.mouser.ca/datasheet/2/423/VAOL-5LSBY1-1064871.pdf","VCC","VAOL-5LSBY1","Mouser","593-VAOL-5LSBY1","https://www.mouser.ca/ProductDetail/VCC/VAOL-5LSBY1?qs=sGAEpiMZZMvHYEB9WUp7EneOMcS%2FsWIS9dCGd3NWsaQ%3D","","","","","",""
"D9 D10 D11 D12","4","1N5711","1N5711","","","Schottky signal diode","https://www.mouser.ca/datasheet/2/389/cd00000759-1795802.pdf","STMicroelectronics","1N5711","Mouser","511-1N5711","https://www.mouser.ca/ProductDetail/STMicroelectronics/1N5711?qs=FITO%2F%2FQgYDnH7pJ7rS2FRA%3D%3D","","","","","",""
"H5 H7 H8 H10","4","HW_Screw_M3x0.50x6","HW_Screw_M3x0.50x6","","","Machine screw, M3x0.50x6","","","","","","","","","","","",""
"H6 H9","2","HW_Standoff_F-F_11mm_M3x0.50","HW_Standoff_F-F_11mm_M3x0.50","","","Standoff, 11mm, female-female, M3x0.50","https://www.thonk.co.uk/wp-content/uploads/2018/05/standoff-datasheet.pdf","Ettinger","05.03.111","Thonk","Mech_11mm_Standoff_(x10)","https://www.thonk.co.uk/shop/standoffs/","Mouser","710-970110321","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/970110321?qs=wr8lucFkNMUs0IWSCWTB3w%3D%3D","","",""
"H11","1","Jumper_2","Jumper_2","","","Jumper connector, 2-pin socket","https://www.mouser.ca/datasheet/2/209/KC-301174-1171759.pdf","","","Mouser","151-8013-E","https://www.mouser.ca/ProductDetail/Kobiconn/151-8013-E?qs=RC2ne4458IJaOh%2FxzS50bA%3D%3D","Adafruit","3525","https://www.adafruit.com/product/3525","","",""
"J1 J2 J3 J4","4","Jack_WQP-PJ398","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
