Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","ABE-01","","","Accu-Bell Effector digital effects module","https://www.tubesandmore.com/sites/default/files/associated_files/p-r-abe.pdf","Accu-Bell","ABE-01","Antique Electronic Supply","P-R-ABE","https://www.tubesandmore.com/products/dsp-module-abe-accu-bell-effector-3-adjustable-effects","","","","","",""
"A2","1","Cable_Eurorack_10","","Length as required","Eurorack 16-10 pin power cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C2","2","10U","","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"C3 C4 C5 C6 C7","5","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C8 C9 C16 C17","4","10U","","Non-polarized","Capacitor - Non-polarized Electrolytic","https://www.mouser.ca/datasheet/2/315/ABA0000C1053-947510.pdf","Panasonic","ECE-A1EN100UI","Mouser","667-ECE-A1EN100UI","https://www.mouser.ca/ProductDetail/Panasonic/ECE-A1EN100UI?qs=0h1gzos03f36mGOUyzNXaA%3D%3D","","","","","",""
"C10 C11 C12 C13","4","470P","C0G/NP0","","Capacitor - Ceramic","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fa_en.pdf","TDK","FA18C0G1H471JNU00","Mouser","810-FA18C0G1H47100","https://www.mouser.ca/ProductDetail/TDK/FA18C0G1H471JNU00?qs=zFwFjAF3uag6sD24vtCdGw%3D%3D","","","","","",""
"C14 C15","2","10P","C0G/NP0","","Capacitor - Film","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18C0G1H100DNT00","Mouser","810-FG18C0G1H100DNT0","https://www.mouser.ca/ProductDetail/TDK/FG18C0G1H100DNT00?qs=vNwBHymccZ%252BO2Seu5xWjag%3D%3D","","","","","",""
"D1","1","1N4148","","Replace with jumper if LED is blue or white","Switching diode, 100V 0.15A, DO-35","https://www.mouser.ca/datasheet/2/308/1N914_D-2309448.pdf","On Semi / Fairchild","1N4148-T50R","Mouser","512-1N4148T50R","https://www.mouser.ca/ProductDetail/?qs=0lQeLiL1qyZS6rosZp7Ehg%3D%3D","","","","","",""
"H1 H5","2","HW_Screw_M3x0.50x6","","","Machine screw, M3x0.50x6","","","","","","","","","","","",""
"H3","1","HW_Standoff_F-F_11mm_M3x0.50","","","Standoff, 11mm, female-female, M3x0.50","https://www.thonk.co.uk/wp-content/uploads/2018/05/standoff-datasheet.pdf","Ettinger","05.03.111","Thonk","Mech_11mm_Standoff_(x10)","https://www.thonk.co.uk/shop/standoffs/","Mouser","710-970110321","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/970110321?qs=wr8lucFkNMUs0IWSCWTB3w%3D%3D","Mouser","144-MTS-11","https://www.mouser.ca/ProductDetail/144-MTS-11"
