Title,Rev,Date,By,File
"FX Module Prototype","1.0","2022-08-26","Len Popp","FX-proto.kicad_sch",
Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","Module_ABE","","","Accu-Bell Effector digital effects module","https://www.tubesandmore.com/sites/default/files/associated_files/p-r-abe.pdf","Accu-Bell","ABE","Antique Electronic Supply","P-R-ABE","https://www.tubesandmore.com/products/dsp-module-abe-accu-bell-effector-3-adjustable-effects","","","","","",""
"C1 C2","2","10U","35 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","Group_Eurorack_DIY_Essential","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"C3 C4 C6","3","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C5 C9","2","10U","","Non-polarized","Capacitor - Non-polarized Electrolytic","https://www.mouser.ca/datasheet/2/315/ABA0000C1053-947510.pdf","Panasonic","ECE-A1EN100UI","Mouser","667-ECE-A1EN100UI","https://www.mouser.ca/ProductDetail/Panasonic/ECE-A1EN100UI?qs=0h1gzos03f36mGOUyzNXaA%3D%3D","","","","","",""
"C7 C8","2","470P","","","Capacitor - Ceramic","","","","","","","","","","","",""
"D1","1","1N4148","","if needed","Switching diode, 100V 0.15A, DO-35","https://www.mouser.ca/datasheet/2/308/1N914_D-2309448.pdf","On Semi / Fairchild","1N4148-T50R","Mouser","512-1N4148T50R","https://www.mouser.ca/ProductDetail/?qs=0lQeLiL1qyZS6rosZp7Ehg%3D%3D","","","","","",""
"J1 J2","2","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"J3","1","Conn_Eurorack_10","","","Eurorack 10-pin board power connector","https://www.mouser.ca/datasheet/2/445/61201021621-1717731.pdf","Wurth Elektronik","61201021621","Mouser","710-61201021621","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61201021621?qs=%2Fha2pyFadugkhyfdWLPRIwz9kroMfF%252BXZWEETFcVSqiQRaqHzEC2RQ%3D%3D","Thonk","","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"R1","1","1K","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf","Vishay / Dale","CCF071K00JKE36","Mouser","71-CCF071K00JKE36","https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D","","","","","",""
"R2 R11","2","100K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
