"Reference","Qty","Value","Value2","Note","Description","Datasheet","Manufacturer","ManufacturerPartNum","Distributor","DistributorPartNum","DistributorPartLink","Distributor2","DistributorPartNum2","DistributorPartLink2","Distributor3","DistributorPartNum3","DistributorPartLink3"
"A1","1","Cable_Eurorack_10","","Length as required","Eurorack 16-10 pin power cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C5","2","10N","","","Capacitor - Film","https://www.mouser.ca/datasheet/2/447/KEM_F3101_R82-3316969.pdf","KEMET","R82EC2100SH50J","Mouser","80-R82EC2100SH50J","https://www.mouser.ca/ProductDetail/KEMET/R82EC2100SH50J?qs=Jv4FAWB%252B0HY5NUeHWRshKg%3D%3D","","","","","",""
"C2 C6","2","470N","","","Capacitor - Film","https://www.mouser.ca/datasheet/2/447/KEM_F3101_R82-3316969.pdf","KEMET","R82DC3470SH60J","Mouser","80-R82DC3470SH60J","https://www.mouser.ca/ProductDetail/KEMET/R82DC3470SH60J?qs=Jv4FAWB%252B0HZ72wFOzKdj%2Fw%3D%3D","","","","","",""
"C3 C7","2","47P","C0G","","Capacitor - Ceramic","https://www.vishay.com/docs/45171/kseries.pdf","Vishay","K470J15C0GF53L2","Mouser","594-K470J15C0GF53L2","https://www.mouser.ca/ProductDetail/Vishay-BC-Components/K470J15C0GF53L2?qs=0lkCALImJFekxt0Idj4Frg%3D%3D","","","","","",""
"C4 C8","2","3N3","","","Capacitor - Film","https://www.mouser.ca/datasheet/2/447/KEM_F3101_R82-3316969.pdf","KEMET","R82EC1330AA50K","Mouser","80-R82EC1330AA50K","https://www.mouser.ca/ProductDetail/80-R82EC1330AA50K","","","","","",""
"C9 C10","2","10U","35 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","Group_Eurorack_DIY_Essential","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"C11 C12 C13 C14","4","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"D1 D2","2","LED_3mm_Blue","","","Blue Light Emitting Diode","https://www.mouser.ca/datasheet/2/239/Lite-On_LTL17KTBS3KS-032A-ver.02-1175323.pdf","Kingbright","WP710A10QBD/D","Mouser","604-WP710A10QBD/D","https://www.mouser.ca/ProductDetail/Kingbright/WP710A10QBD-D?qs=%2Fha2pyFaduhxM0Yc4LNdCV5tSkUIQ4jFdDFR7390XhPTkxv9WTdJ0Q%3D%3D","","","","","",""
"J1 J2 J3 J4","4","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"J5","1","Conn_Eurorack_10","","","Eurorack 10-pin board power connector","https://www.mouser.ca/datasheet/2/445/61201021621-1717731.pdf","Wurth Elektronik","61201021621","Mouser","710-61201021621","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61201021621?qs=%2Fha2pyFadugkhyfdWLPRIwz9kroMfF%252BXZWEETFcVSqiQRaqHzEC2RQ%3D%3D","Thonk","","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"J6","1","Conn_Front","","","Generic connector, single row, 01x17, script generated (kicad-library-utils/schlib/autogen/connector/)","~","","","Adafruit","598","https://www.adafruit.com/product/598","Mouser","710-61303211821","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61303211821?qs=ZtY9WdtwX55M%2FH%2FSrHZ9xA%3D%3D","","",""
"J7","1","Conn_Back","","","Generic connector, single row, 01x17, script generated (kicad-library-utils/schlib/autogen/connector/)","~","","","Adafruit","1540","https://www.adafruit.com/product/1540","Mouser","649-1012937993601BLF","https://www.mouser.ca/ProductDetail/Amphenol-FCI/10129379-936001BLF?qs=0lQeLiL1qyaSuTs3FuCL%2FQ%3D%3D","","",""
