Ref,Qty,Name,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","Cable_Eurorack_10","Cable_Eurorack_10","","Length as required","Eurorack 16-10 pin power cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C2","2","CP_10U","10U","25 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf","Panasonic","EEA-FC1E100","Mouser","667-EEA-FC1E100","https://www.mouser.ca/ProductDetail/Panasonic/EEA-FC1E100?qs=nLJruSqDb94EJwiFQJd4iw%3D%3D","","","","","",""
"C3 C4 C5 C6 C7 C8 C9 C10 C11 C12","10","CC_100N","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C13 C14 C17 C18","4","CC","1N2","","C0G or film","Capacitor - Ceramic","https://www.mouser.ca/datasheet/2/212/1/KEM_F3101_R82-1103738.pdf","Kemet","R82EC1120DQ50J","Mouser","80-R82EC1120DQ50J","https://www.mouser.ca/ProductDetail/KEMET/R82EC1120DQ50J?qs=Jv4FAWB%252B0HZ5I6mPsbz5Ew%3D%3D","","","","","",""
"C15 C16 C19 C20","4","CC","100P","","","Capacitor - Ceramic","https://www.mouser.ca/datasheet/2/427/VISH_S_A0012659393_1-2572337.pdf","Vishay","K101J15C0GF53L2","Mouser","594-K101J15C0GF53L2","https://www.mouser.ca/ProductDetail/594-K101J15C0GF53L2","","","","","",""
"H1 H5 H6 H10","4","HW_Screw_M3x0.50x6","HW_Screw_M3x0.50x6","","","Machine screw, M3x0.50x6","","","","","","","","","","","",""
"H3 H8","2","HW_Standoff_F-F_11mm_M3x0.50","HW_Standoff_F-F_11mm_M3x0.50","","","Standoff, 11mm, female-female, M3x0.50","https://www.thonk.co.uk/wp-content/uploads/2018/05/standoff-datasheet.pdf","Ettinger","05.03.111","Thonk","Mech_11mm_Standoff_(x10)","https://www.thonk.co.uk/shop/standoffs/","Mouser","710-970110321","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/970110321?qs=wr8lucFkNMUs0IWSCWTB3w%3D%3D","","",""
"J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12","12","Jack_WQP-PJ398","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"J13 J15","2","Conn_01x24","Conn_Socket_24","","","Generic connector, single row, 01x24, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","","","","","","",""
"J14 J16","2","Conn_01x24","Conn_Header_24","","","Generic connector, single row, 01x24, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","","","","","","",""
