Ref,Qty,Name,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2
"C1","1","CF","1N2","","","Capacitor - Film","","","","","","","","",""
"J1","1","Conn_01x09","Conn_01x09","","","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","","","","","",""
"R1","1","R","150K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/passive-components/resistors/film-resistors/metal-film-resistors-through-hole/?m=YAGEO&power%20rating=166%20mW%20%281%2F6%20W%29&tolerance=1%20%25&instock=y","","",""
"R2","1","R","25K5","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/passive-components/resistors/film-resistors/metal-film-resistors-through-hole/?m=YAGEO&power%20rating=166%20mW%20%281%2F6%20W%29&tolerance=1%20%25&instock=y","","",""
"R3","1","R","49K9","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/passive-components/resistors/film-resistors/metal-film-resistors-through-hole/?m=YAGEO&power%20rating=166%20mW%20%281%2F6%20W%29&tolerance=1%20%25&instock=y","","",""
"R4","1","R","220R","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/passive-components/resistors/film-resistors/metal-film-resistors-through-hole/?m=YAGEO&power%20rating=166%20mW%20%281%2F6%20W%29&tolerance=1%20%25&instock=y","","",""
"R5","1","R","60K1","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/passive-components/resistors/film-resistors/metal-film-resistors-through-hole/?m=YAGEO&power%20rating=166%20mW%20%281%2F6%20W%29&tolerance=1%20%25&instock=y","","",""
"R6","1","R","20K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/passive-components/resistors/film-resistors/metal-film-resistors-through-hole/?m=YAGEO&power%20rating=166%20mW%20%281%2F6%20W%29&tolerance=1%20%25&instock=y","","",""
"R7 R8","2","R","47K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/passive-components/resistors/film-resistors/metal-film-resistors-through-hole/?m=YAGEO&power%20rating=166%20mW%20%281%2F6%20W%29&tolerance=1%20%25&instock=y","","",""
"R9","1","R_1K_Output","1K","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf","Vishay / Dale","CCF071K00JKE36","Mouser","71-CCF071K00JKE36","https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D","","",""
"R10","1","R","12K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/passive-components/resistors/film-resistors/metal-film-resistors-through-hole/?m=YAGEO&power%20rating=166%20mW%20%281%2F6%20W%29&tolerance=1%20%25&instock=y","","",""
"RV1","1","R_POT_TRIM","100K","","","Trim-potentiometer","https://www.mouser.ca/datasheet/2/54/3386-776606.pdf","Bourns","3386*","Mouser","652-3386*","https://www.mouser.ca/c/passive-components/resistors/variable-resistors/trimmer-resistors-through-hole/?number+of+turns=1&series=3386&instock=y","","",""
"U1","1","TL074","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","",""
"U2","1","SSI2164","SSI2164","","","Fatkeys™ Quad Voltage Controlled Amplifier","http://soundsemiconductor.com/downloads/ssi2164datasheet.pdf","Sound Semiconductor","SSI2164","Synthcube","ICNSSI2164SMT","https://synthcube.com/cart/sound-semiconductor-ssi2164-fatkeys-quad-voltage-controlled-amplifier?search=ssi2164&description=true","Antique Electronic Supply","P-Q-SSI2164","https://www.tubesandmore.com/products/integrated-circuit-ssi2164-quad-vca-sound-semiconductor"
