Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","Cable_Eurorack_16","","Length as required","Eurorack 16-16 pin power & bus cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C2","2","10U","35 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","Group_Eurorack_DIY_Essential","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"C3 C4 C5 C6 C9 C10","6","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C7 C11 C14 C16","4","4U7","","","Capacitor - Electrolytic","","","","","","","","","","","",""
"C8","1","10P","C0G/NP0","","Capacitor - Ceramic","","","","","","","","","","","",""
"C12","1","18P","C0G/NP0","","Capacitor - Ceramic","","","","","","","","","","","",""
"C13 C15","2","150P","","","Capacitor - Film","","","","","","","","","","","",""
"H5 H7 H8 H10","4","HW_Screw_M3x0.50x6","","","Machine screw, M3x0.50x6","","","","","","","","","","","",""
"H6 H9","2","HW_Standoff_F-F_11mm_M3x0.50","","","Standoff, 11mm, female-female, M3x0.50","https://www.thonk.co.uk/wp-content/uploads/2018/05/standoff-datasheet.pdf","Ettinger","05.03.111","Thonk","Mech_11mm_Standoff_(x10)","https://www.thonk.co.uk/shop/standoffs/","Mouser","710-970110321","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/970110321?qs=wr8lucFkNMUs0IWSCWTB3w%3D%3D","Mouser","144-MTS-11","https://www.mouser.ca/ProductDetail/144-MTS-11"
"H11","1","Jumper_2","","","Jumper connector, 2-pin socket","https://www.mouser.ca/datasheet/2/209/KC-301174-1171759.pdf","","","Mouser","151-8013-E","https://www.mouser.ca/ProductDetail/Kobiconn/151-8013-E?qs=RC2ne4458IJaOh%2FxzS50bA%3D%3D","Adafruit","3525","https://www.adafruit.com/product/3525","","",""
"H12 H13","2","WireHole_PTH","","","","","","","","","","","","","","",""
"J1 J2 J3 J4 J5 J6","6","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"J9","1","Conn_Eurorack_16","","","Eurorack 16-pin board power/CV/gate bus connector","https://www.mouser.ca/datasheet/2/445/61201621621-1717735.pdf","Wurth Elektronik","61201621621","Mouser","710-61201621621","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61201621621?qs=ZtY9WdtwX55qFf4n3EFuaA%3D%3D","","","","","",""
"J10","1","Conn_Front_Left_Top","","","Generic connector, single row, 01x14, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Adafruit","598","https://www.adafruit.com/product/598","Mouser","710-61303211821","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61303211821?qs=ZtY9WdtwX55M%2FH%2FSrHZ9xA%3D%3D","","",""
"J11","1","Conn_Back_Right_Top","","","Generic connector, single row, 01x14, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Adafruit","392","https://www.adafruit.com/product/392","Mouser","649-1012937893601BLF","https://www.mouser.ca/ProductDetail/649-1012937893601BLF","","",""
"JP1","1","CV-BUS","","","Jumper pins, 3-pole, pins 1+2 closed/bridged","","","","","","","","","","","",""
"R1 R5 R6 R8 R9 R10 R11 R15 R18 R20 R22 R24 R25 R26","14","100K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R2 R16","2","240K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R3 R14","2","200K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R4","1","120K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R7","1","130K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R12","1","49K9","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R13 R23","2","91K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R17","1","220K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R19","1","2M61","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R21","1","680R","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R27 R28","2","1K","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf","Vishay / Dale","CCF071K00JKE36","Mouser","71-CCF071K00JKE36","https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D","","","","","",""
"RT1","1","1K","1% +3300ppm","","Temperature dependent resistor","","","","","","","","","","","",""
"RV1 RV3","2","100K","LIN","","Potentiometer","http://www.song-huei.com/proimages//eng/pdfimages/R0904N.pdf","Song Huei","R0904N*","SynthCube","SH9MMTPOTMSTR","https://synthcube.com/cart/9mm-trimmer-pots","Thonk","Group_SongHuei_TTP","https://www.thonk.co.uk/shop/ttpots/","SynthCube","9MMALPHAPOTMSTR","https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft"
