Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","Cable_Eurorack_10","","Length as required","Eurorack 16-10 pin power cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C2","2","10U","25 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf","Panasonic","EEA-FC1E100","Mouser","667-EEA-FC1E100","https://www.mouser.ca/ProductDetail/Panasonic/EEA-FC1E100?qs=nLJruSqDb94EJwiFQJd4iw%3D%3D","","","","","",""
"C3 C4 C5 C6 C7 C8 C9 C10 C11","9","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C12 C13","2","10N","","","Capacitor - Film","https://www.mouser.ca/datasheet/2/212/1/KEM_F3101_R82-1103738.pdf","KEMET","R82EC2100SH50J","Mouser","80-R82EC2100SH50J","https://www.mouser.ca/ProductDetail/?qs=Jv4FAWB%252B0HY5NUeHWRshKg%3D%3D","","","","","",""
"C14","1","3N9","","PPS","Capacitor - Film","https://www.mouser.ca/datasheet/2/212/1/KEM_F3072_SMR-1103375.pdf","KEMET","SMR5392K250J01L4BULK","Mouser","80-SMR5392K250J01L4","https://www.mouser.ca/ProductDetail/KEMET/SMR5392K250J01L4BULK?qs=9OvERMBOKbacxGoDROyopw%3D%3D","","","","","",""
"D1 D2 D3","3","1N5711","","","Schottky signal diode","https://www.mouser.ca/datasheet/2/389/cd00000759-1795802.pdf","STMicroelectronics","1N5711","Mouser","511-1N5711","https://www.mouser.ca/ProductDetail/STMicroelectronics/1N5711?qs=FITO%2F%2FQgYDnH7pJ7rS2FRA%3D%3D","","","","","",""
"H1","1","Jumper_2","","","Jumper connector, 2-pin socket","https://www.mouser.ca/datasheet/2/209/KC-301174-1171759.pdf","","","Mouser","151-8013-E","https://www.mouser.ca/ProductDetail/Kobiconn/151-8013-E?qs=RC2ne4458IJaOh%2FxzS50bA%3D%3D","Adafruit","3525","https://www.adafruit.com/product/3525","","",""
"H2 H4 H5 H7 H8 H9 H11 H12","8","HW_Screw_M3x0.50x6","","","Machine screw, M3x0.50x6","","","","","","","","","","","",""
"H3 H6","2","HW_Standoff_F-F_11mm_M3x0.50","","","Standoff, 11mm, female-female, M3x0.50","https://www.thonk.co.uk/wp-content/uploads/2018/05/standoff-datasheet.pdf","Ettinger","05.03.111","Thonk","Mech_11mm_Standoff_(x10)","https://www.thonk.co.uk/shop/standoffs/","Mouser","710-970110321","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/970110321?qs=wr8lucFkNMUs0IWSCWTB3w%3D%3D","","",""
"H10","1","HW_Front_Panel_10HP","","See drilling template","Front panel for Eurorack module, 10HP","","","","","","","","","","","",""
