Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A101","1","Cable_Eurorack_10","","Length as required","Eurorack 16-10 pin power cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C2","2","680N","","","Capacitor - Film","https://www.mouser.ca/datasheet/2/212/1/KEM_F3101_R82-1103738.pdf","KEMET","R82DC3680AA60K","Mouser","80-R82DC3680AA60K","https://www.mouser.ca/ProductDetail/?qs=Jv4FAWB%252B0HZwVuYoWb%2F8xA%3D%3D","","","","","",""
"C3 C4","2","10U","","Non-polarized","Capacitor - Non-polarized Electrolytic","https://www.mouser.ca/datasheet/2/315/ABA0000C1053-947510.pdf","Panasonic","ECE-A1EN100UI","Mouser","667-ECE-A1EN100UI","https://www.mouser.ca/ProductDetail/Panasonic/ECE-A1EN100UI?qs=0h1gzos03f36mGOUyzNXaA%3D%3D","","","","","",""
"C101 C102","2","10U","","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","Group_Eurorack_DIY_Essential","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"C103 C104 C105 C106","4","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"J1 J2 J3 J4","4","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"J101","1","Conn_Eurorack_10","","","Eurorack 10-pin board power connector","https://www.mouser.ca/datasheet/2/445/61201021621-1717731.pdf","Wurth Elektronik","61201021621","Mouser","710-61201021621","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61201021621?qs=%2Fha2pyFadugkhyfdWLPRIwz9kroMfF%252BXZWEETFcVSqiQRaqHzEC2RQ%3D%3D","Thonk","","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"J102","1","Conn_Front","","","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Adafruit","598","https://www.adafruit.com/product/598","Mouser","710-61303211821","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61303211821?qs=ZtY9WdtwX55M%2FH%2FSrHZ9xA%3D%3D","","",""
"J103","1","Conn_Back","","","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Adafruit","1540","https://www.adafruit.com/product/1540","Mouser","649-1012937993601BLF","https://www.mouser.ca/ProductDetail/Amphenol-FCI/10129379-936001BLF?qs=0lQeLiL1qyaSuTs3FuCL%2FQ%3D%3D","","",""
"Q1 Q3 Q5 Q7","4","2N3906","","","Small Signal PNP Transistor, -0.2A Ic, -40V Vce, TO-92","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","ON Semiconductor / Fairchild","2N3906TAR","Mouser","512-2N3906TAR","https://www.mouser.ca/ProductDetail/ON-Semiconductor-Fairchild/2N3906TAR?qs=VnWRSnLxLU2ypWvU5pgBbw%3D%3D","","","","","",""
"Q2 Q4 Q6 Q8","4","2N3904","","","Small Signal NPN Transistor, 0.2A Ic, 40V Vce, TO-92","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Central Semiconductor","2N3904 PBFREE","Mouser","610-2N3904","https://www.mouser.ca/ProductDetail/Central-Semiconductor/2N3904-PBFREE?qs=u16ybLDytRZopNVvg2vJjA%3D%3D","","","","","",""
"R1 R16","2","499K","1%, 1/4 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-25FTE52-499K","Mouser","603-MFR-25FTE52-499K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-25FTE52-499K?qs=oAGoVhmvjhyZIgXtFNjfqg%3D%3D","","","","","",""
"R2 R15 R17 R30","4","100K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-100K","Mouser","603-MFR-12FTF52-100K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-100K?qs=oAGoVhmvjhxn7uX6J9%2FOug%3D%3D","","","","","",""
"R3 R18","2","18K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-18K","Mouser","603-MFR-12FTF52-18K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-18K?qs=oAGoVhmvjhyrIv61YZaM%252Bw%3D%3D","","","","","",""
"R4 R5 R10 R11 R19 R20 R25 R26","8","15K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-15K","Mouser","603-MFR-12FTF52-15K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-15K?qs=oAGoVhmvjhxmMJFRswMR%252BA%3D%3D","","","","","",""
"R6 R12 R21 R27","4","10K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-10K","Mouser","603-MFR-12FTF52-10K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-10K?qs=oAGoVhmvjhzLlUYKKBtdYQ%3D%3D","","","","","",""
"R7 R22","2","120K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-120K","Mouser","603-MFR-12FTF52-120K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-120K?qs=oAGoVhmvjhymMraGPHdD1w%3D%3D","","","","","",""
"R8 R23","2","27K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-27K","Mouser","603-MFR-12FTF52-27K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-27K?qs=oAGoVhmvjhyCFqUmM0XEdA%3D%3D","","","","","",""
"R9 R24","2","68K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-68K","Mouser","603-MFR-12FTF52-68K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-68K?qs=oAGoVhmvjhyL5MsnBkXRfA%3D%3D","","","","","",""
"R13 R28","2","200K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-200K","Mouser","603-MFR-12FTF52-200K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-200K?qs=oAGoVhmvjhzyXGTT6oqbfw%3D%3D","","","","","",""
"R14 R29","2","1K","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf","Vishay / Dale","CCF071K00JKE36","Mouser","71-CCF071K00JKE36","https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D","","","","","",""
"RV1 RV2","2","100K","LIN","","Potentiometer","https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf","Alpha","RD901F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","Mouser","311-1940F-*","https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical","SynthCube","9MMALPHAPOTMSTR","https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft"
"U1","1","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","","","","",""
"U2","1","TL072","","","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","https://www.ti.com/lit/ds/symlink/tl072b.pdf?ts=1628812694194","Texas Instruments","TL072BCP","Mouser","595-TL072BCP","https://www.mouser.ca/ProductDetail/Texas-Instruments/TL072BCP?qs=p6YqzpSxLIxmo8AyZLsP4g%3D%3D","","","","","",""
